,,Bucks Gaming,OLarry,Regular Season,14 ,187 ,43 ,30 ,1.4 ,26 ,10 ,83 ,34 ,49 ,122 ,80 ,66% ,67% ,116 ,77 ,66% ,6 ,3 ,50% ,30 ,24 ,80% ,22 ,36 ,,13.4 ,3.1 ,2.1 ,1.4 ,1.9 ,0.7 ,5.9 ,2.4 ,3.5 ,8.7 ,5.7 ,66% ,67% ,8.3 ,5.5 ,66% ,0.4 ,0.2 ,50% ,2.1 ,1.7 ,80% ,1.6 ,2.6 
,,Bucks Gaming,OLarry,Mid-Season Tournament 2,2 ,16 ,17 ,8 ,2.1 ,3 ,– ,1 ,1 ,– ,10 ,6 ,60% ,70% ,7 ,4 ,57% ,3 ,2 ,67% ,2 ,2 ,100% ,4 ,5 ,,8.0 ,8.5 ,4.0 ,2.1 ,1.5 ,– ,0.5 ,0.5 ,– ,5.0 ,3.0 ,60% ,70% ,3.5 ,2.0 ,57% ,1.5 ,1.0 ,67% ,1.0 ,1.0 ,100% ,2.0 ,2.5 
,,Bucks Gaming,OLarry,Mid-Season Tournament 1,1 ,19 ,1 ,1 ,1.0 ,1 ,2 ,5 ,1 ,4 ,10 ,9 ,90% ,90% ,10 ,9 ,90% ,– ,– ,-,1 ,1 ,100% ,– ,4 ,,19.0 ,1.0 ,1.0 ,1.0 ,1.0 ,2.0 ,5.0 ,1.0 ,4.0 ,10.0 ,9.0 ,90% ,90% ,10.0 ,9.0 ,90% ,– ,– ,-,1.0 ,1.0 ,100% ,– ,4.0 
,,Bucks Gaming,Procis1on,Tip Off,3 ,23 ,1 ,4 ,0.3 ,1 ,1 ,1 ,– ,1 ,14 ,9 ,64% ,79% ,6 ,5 ,83% ,8 ,4 ,50% ,1 ,1 ,100% ,2 ,3 ,,7.7 ,0.3 ,1.3 ,0.3 ,0.3 ,0.3 ,0.3 ,– ,0.3 ,4.7 ,3.0 ,64% ,79% ,2.0 ,1.7 ,83% ,2.7 ,1.3 ,50% ,0.3 ,0.3 ,100% ,0.7 ,1.0 
,,Bucks Gaming,Procis1on,Regular Season,3 ,19 ,2 ,2 ,1.0 ,1 ,– ,5 ,1 ,4 ,16 ,9 ,56% ,59% ,10 ,8 ,80% ,6 ,1 ,17% ,– ,– ,-,1 ,5 ,,6.3 ,0.7 ,0.7 ,1.0 ,0.3 ,– ,1.7 ,0.3 ,1.3 ,5.3 ,3.0 ,56% ,59% ,3.3 ,2.7 ,80% ,2.0 ,0.3 ,17% ,– ,– ,-,0.3 ,1.7 
,,Bucks Gaming,Procis1on,Mid-Season Tournament 2,2 ,16 ,2 ,2 ,1.0 ,– ,– ,1 ,– ,1 ,11 ,6 ,55% ,73% ,5 ,2 ,40% ,6 ,4 ,67% ,– ,– ,-,2 ,3 ,,8.0 ,1.0 ,1.0 ,1.0 ,– ,– ,0.5 ,– ,0.5 ,5.5 ,3.0 ,55% ,73% ,2.5 ,1.0 ,40% ,3.0 ,2.0 ,67% ,– ,– ,-,1.0 ,1.5 
,,Bucks Gaming,XXSTL2LAXX,Tip Off,3 ,12 ,9 ,2 ,4.5 ,4 ,– ,6 ,2 ,4 ,15 ,5 ,33% ,33% ,9 ,5 ,56% ,6 ,– ,– ,2 ,2 ,100% ,3 ,3 ,,4.0 ,3.0 ,0.7 ,4.5 ,1.3 ,– ,2.0 ,0.7 ,1.3 ,5.0 ,1.7 ,33% ,33% ,3.0 ,1.7 ,56% ,2.0 ,– ,– ,0.7 ,0.7 ,100% ,1.0 ,1.0 
,,Bucks Gaming,XXSTL2LAXX,Regular Season,12 ,143 ,26 ,12 ,2.2 ,6 ,2 ,20 ,3 ,17 ,92 ,58 ,63% ,72% ,59 ,41 ,70% ,33 ,17 ,52% ,13 ,10 ,77% ,15 ,18 ,,11.9 ,2.2 ,1.0 ,2.2 ,0.5 ,0.2 ,1.7 ,0.3 ,1.4 ,7.7 ,4.8 ,63% ,72% ,4.9 ,3.4 ,70% ,2.8 ,1.4 ,52% ,1.1 ,0.8 ,77% ,1.3 ,1.5 
,,Bucks Gaming,XXSTL2LAXX,Mid-Season Tournament 2,2 ,17 ,3 ,1 ,3.0 ,5 ,3 ,22 ,10 ,12 ,13 ,8 ,62% ,62% ,13 ,8 ,62% ,– ,– ,-,4 ,1 ,25% ,2 ,5 ,,8.5 ,1.5 ,0.5 ,3.0 ,2.5 ,1.5 ,11.0 ,5.0 ,6.0 ,6.5 ,4.0 ,62% ,62% ,6.5 ,4.0 ,62% ,– ,– ,-,2.0 ,0.5 ,25% ,1.0 ,2.5 
,,Bucks Gaming,XXSTL2LAXX,Mid-Season Tournament 1,1 ,16 ,3 ,1 ,3.0 ,2 ,1 ,1 ,– ,1 ,10 ,5 ,50% ,60% ,5 ,3 ,60% ,5 ,2 ,40% ,4 ,4 ,100% ,2 ,1 ,,16.0 ,3.0 ,1.0 ,3.0 ,2.0 ,1.0 ,1.0 ,– ,1.0 ,10.0 ,5.0 ,50% ,60% ,5.0 ,3.0 ,60% ,5.0 ,2.0 ,40% ,4.0 ,4.0 ,100% ,2.0 ,1.0 
