,,Kings Guard Gaming,Safiya4ya,Mid-Season Tournament 2,3 ,12 ,4 ,5 ,0.8 ,4 ,– ,3 ,– ,3 ,8 ,4 ,50% ,75% ,– ,– ,-,8 ,4 ,50% ,– ,– ,-,1 ,1 ,,4.0 ,1.3 ,1.7 ,0.8 ,1.3 ,– ,1.0 ,– ,1.0 ,2.7 ,1.3 ,50% ,75% ,– ,– ,-,2.7 ,1.3 ,50% ,– ,– ,-,0.3 ,0.3 
,,Kings Guard Gaming,Safiya4ya,Mid-Season Tournament 1,1 ,4 ,1 ,4 ,0.3 ,2 ,– ,2 ,– ,2 ,9 ,2 ,22% ,22% ,7 ,2 ,29% ,2 ,– ,– ,– ,– ,-,1 ,1 ,,4.0 ,1.0 ,4.0 ,0.3 ,2.0 ,– ,2.0 ,– ,2.0 ,9.0 ,2.0 ,22% ,22% ,7.0 ,2.0 ,29% ,2.0 ,– ,– ,– ,– ,-,1.0 ,1.0 
,,Kings Guard Gaming,TimelyCook,Tip Off,3 ,60 ,40 ,7 ,5.7 ,8 ,– ,5 ,2 ,3 ,46 ,27 ,59% ,62% ,38 ,24 ,63% ,8 ,3 ,38% ,3 ,3 ,100% ,15 ,10 ,,20.0 ,13.3 ,2.3 ,5.7 ,2.7 ,– ,1.7 ,0.7 ,1.0 ,15.3 ,9.0 ,59% ,62% ,12.7 ,8.0 ,63% ,2.7 ,1.0 ,38% ,1.0 ,1.0 ,100% ,5.0 ,3.3 
,,Kings Guard Gaming,TimelyCook,Regular Season,14 ,202 ,93 ,34 ,2.7 ,29 ,3 ,36 ,13 ,23 ,173 ,90 ,52% ,56% ,131 ,75 ,57% ,42 ,15 ,36% ,9 ,7 ,78% ,36 ,36 ,,14.4 ,6.6 ,2.4 ,2.7 ,2.1 ,0.2 ,2.6 ,0.9 ,1.6 ,12.4 ,6.4 ,52% ,56% ,9.4 ,5.4 ,57% ,3.0 ,1.1 ,36% ,0.6 ,0.5 ,78% ,2.6 ,2.6 
,,Kings Guard Gaming,TimelyCook,Mid-Season Tournament 2,3 ,19 ,5 ,1 ,5.0 ,6 ,– ,2 ,– ,2 ,16 ,8 ,50% ,56% ,12 ,6 ,50% ,4 ,2 ,50% ,1 ,1 ,100% ,2 ,9 ,,6.3 ,1.7 ,0.3 ,5.0 ,2.0 ,– ,0.7 ,– ,0.7 ,5.3 ,2.7 ,50% ,56% ,4.0 ,2.0 ,50% ,1.3 ,0.7 ,50% ,0.3 ,0.3 ,100% ,0.7 ,3.0 
,,Kings Guard Gaming,TimelyCook,Mid-Season Tournament 1,1 ,8 ,8 ,2 ,4.0 ,2 ,– ,2 ,– ,2 ,10 ,4 ,40% ,40% ,8 ,4 ,50% ,2 ,– ,– ,– ,– ,-,4 ,3 ,,8.0 ,8.0 ,2.0 ,4.0 ,2.0 ,– ,2.0 ,– ,2.0 ,10.0 ,4.0 ,40% ,40% ,8.0 ,4.0 ,50% ,2.0 ,– ,– ,– ,– ,-,4.0 ,3.0 
,,Kings Guard Gaming,Worthingcolt,Tip Off,3 ,71 ,6 ,6 ,1.0 ,5 ,3 ,26 ,12 ,14 ,53 ,33 ,62% ,62% ,53 ,33 ,62% ,– ,– ,-,6 ,5 ,83% ,4 ,6 ,,23.7 ,2.0 ,2.0 ,1.0 ,1.7 ,1.0 ,8.7 ,4.0 ,4.7 ,17.7 ,11.0 ,62% ,62% ,17.7 ,11.0 ,62% ,– ,– ,-,2.0 ,1.7 ,83% ,1.3 ,2.0 
,,Kings Guard Gaming,Worthingcolt,Regular Season,14 ,236 ,76 ,35 ,2.2 ,22 ,13 ,87 ,29 ,58 ,207 ,104 ,50% ,52% ,179 ,95 ,53% ,28 ,9 ,32% ,22 ,19 ,86% ,31 ,27 ,,16.9 ,5.4 ,2.5 ,2.2 ,1.6 ,0.9 ,6.2 ,2.1 ,4.1 ,14.8 ,7.4 ,50% ,52% ,12.8 ,6.8 ,53% ,2.0 ,0.6 ,32% ,1.6 ,1.4 ,86% ,2.2 ,1.9 
,,Kings Guard Gaming,Worthingcolt,Mid-Season Tournament 2,3 ,61 ,32 ,9 ,3.6 ,2 ,– ,– ,– ,– ,56 ,26 ,46% ,50% ,44 ,22 ,50% ,12 ,4 ,33% ,6 ,5 ,83% ,10 ,12 ,,20.3 ,10.7 ,3.0 ,3.6 ,0.7 ,– ,– ,– ,– ,18.7 ,8.7 ,46% ,50% ,14.7 ,7.3 ,50% ,4.0 ,1.3 ,33% ,2.0 ,1.7 ,83% ,3.3 ,4.0 
,,Kings Guard Gaming,Worthingcolt,Mid-Season Tournament 1,1 ,19 ,7 ,1 ,7.0 ,2 ,1 ,7 ,3 ,4 ,13 ,8 ,62% ,62% ,13 ,8 ,62% ,– ,– ,-,3 ,3 ,100% ,3 ,2 ,,19.0 ,7.0 ,1.0 ,7.0 ,2.0 ,1.0 ,7.0 ,3.0 ,4.0 ,13.0 ,8.0 ,62% ,62% ,13.0 ,8.0 ,62% ,– ,– ,-,3.0 ,3.0 ,100% ,3.0 ,2.0 
