,,Heatcheck Gaming,HyperIsPro,Regular Season,9 ,61 ,11 ,6 ,1.8 ,6 ,5 ,18 ,4 ,14 ,42 ,26 ,62% ,68% ,31 ,21 ,68% ,11 ,5 ,45% ,5 ,4 ,80% ,6 ,10 ,,6.8 ,1.2 ,0.7 ,1.8 ,0.7 ,0.6 ,2.0 ,0.4 ,1.6 ,4.7 ,2.9 ,62% ,68% ,3.4 ,2.3 ,68% ,1.2 ,0.6 ,45% ,0.6 ,0.4 ,80% ,0.7 ,1.1 
,,Heatcheck Gaming,HyperIsPro,Mid-Season Tournament 2,1 ,2 ,1 ,– ,– ,4 ,– ,4 ,– ,4 ,3 ,– ,– ,– ,– ,– ,-,3 ,– ,– ,2 ,2 ,100% ,1 ,– ,,2.0 ,1.0 ,– ,– ,4.0 ,– ,4.0 ,– ,4.0 ,3.0 ,– ,– ,– ,– ,– ,-,3.0 ,– ,– ,2.0 ,2.0 ,100% ,1.0 ,– 
,,Heatcheck Gaming,HyperIsPro,Mid-Season Tournament 1,1 ,5 ,2 ,– ,– ,1 ,– ,1 ,– ,1 ,4 ,2 ,50% ,63% ,2 ,1 ,50% ,2 ,1 ,50% ,– ,– ,-,– ,1 ,,5.0 ,2.0 ,– ,– ,1.0 ,– ,1.0 ,– ,1.0 ,4.0 ,2.0 ,50% ,63% ,2.0 ,1.0 ,50% ,2.0 ,1.0 ,50% ,– ,– ,-,– ,1.0 
,,Heatcheck Gaming,Jalen03303,Tip Off,1 ,6 ,– ,– ,– ,2 ,– ,1 ,– ,1 ,3 ,2 ,67% ,100% ,– ,– ,-,3 ,2 ,67% ,– ,– ,-,– ,– ,,6.0 ,– ,– ,– ,2.0 ,– ,1.0 ,– ,1.0 ,3.0 ,2.0 ,67% ,100% ,– ,– ,-,3.0 ,2.0 ,67% ,– ,– ,-,– ,– 
,,Heatcheck Gaming,Jalen03303,Regular Season,9 ,37 ,5 ,2 ,2.5 ,5 ,3 ,14 ,1 ,13 ,25 ,13 ,52% ,74% ,5 ,2 ,40% ,20 ,11 ,55% ,– ,– ,-,2 ,7 ,,4.1 ,0.6 ,0.2 ,2.5 ,0.6 ,0.3 ,1.6 ,0.1 ,1.4 ,2.8 ,1.4 ,52% ,74% ,0.6 ,0.2 ,40% ,2.2 ,1.2 ,55% ,– ,– ,-,0.2 ,0.8 
,,Heatcheck Gaming,Jalen03303,Playoffs,3 ,8 ,4 ,1 ,4.0 ,4 ,– ,4 ,3 ,1 ,4 ,2 ,50% ,75% ,– ,– ,-,4 ,2 ,50% ,2 ,2 ,100% ,2 ,2 ,,2.7 ,1.3 ,0.3 ,4.0 ,1.3 ,– ,1.3 ,1.0 ,0.3 ,1.3 ,0.7 ,50% ,75% ,– ,– ,-,1.3 ,0.7 ,50% ,0.7 ,0.7 ,100% ,0.7 ,0.7 
,,Heatcheck Gaming,Jalen03303,Mid-Season Tournament 1,1 ,15 ,4 ,1 ,4.0 ,– ,– ,– ,– ,– ,9 ,5 ,56% ,78% ,3 ,1 ,33% ,6 ,4 ,67% ,1 ,1 ,100% ,1 ,– ,,15.0 ,4.0 ,1.0 ,4.0 ,– ,– ,– ,– ,– ,9.0 ,5.0 ,56% ,78% ,3.0 ,1.0 ,33% ,6.0 ,4.0 ,67% ,1.0 ,1.0 ,100% ,1.0 ,– 
,,Heatcheck Gaming,Jalen03303,Finals,2 ,14 ,2 ,1 ,2.0 ,– ,1 ,7 ,2 ,5 ,12 ,7 ,58% ,58% ,11 ,7 ,64% ,1 ,– ,– ,– ,– ,-,– ,2 ,,7.0 ,1.0 ,0.5 ,2.0 ,– ,0.5 ,3.5 ,1.0 ,2.5 ,6.0 ,3.5 ,58% ,58% ,5.5 ,3.5 ,64% ,0.5 ,– ,– ,– ,– ,-,– ,1.0 
,,Heatcheck Gaming,Majes7ic,Tip Off,4 ,56 ,33 ,12 ,2.8 ,4 ,– ,11 ,3 ,8 ,44 ,22 ,50% ,58% ,31 ,15 ,48% ,13 ,7 ,54% ,5 ,5 ,100% ,12 ,13 ,,14.0 ,8.3 ,3.0 ,2.8 ,1.0 ,– ,2.8 ,0.8 ,2.0 ,11.0 ,5.5 ,50% ,58% ,7.8 ,3.8 ,48% ,3.3 ,1.8 ,54% ,1.3 ,1.3 ,100% ,3.0 ,3.3 
,,Heatcheck Gaming,Majes7ic,Regular Season,14 ,180 ,102 ,18 ,5.7 ,17 ,4 ,23 ,1 ,22 ,132 ,69 ,52% ,61% ,88 ,45 ,51% ,44 ,24 ,55% ,21 ,18 ,86% ,38 ,36 ,,12.9 ,7.3 ,1.3 ,5.7 ,1.2 ,0.3 ,1.6 ,0.1 ,1.6 ,9.4 ,4.9 ,52% ,61% ,6.3 ,3.2 ,51% ,3.1 ,1.7 ,55% ,1.5 ,1.3 ,86% ,2.7 ,2.6 
,,Heatcheck Gaming,Majes7ic,Playoffs,3 ,17 ,1 ,2 ,0.5 ,3 ,8 ,11 ,– ,11 ,7 ,6 ,86% ,114% ,2 ,2 ,100% ,5 ,4 ,80% ,2 ,1 ,50% ,1 ,6 ,,5.7 ,0.3 ,0.7 ,0.5 ,1.0 ,2.7 ,3.7 ,– ,3.7 ,2.3 ,2.0 ,86% ,114% ,0.7 ,0.7 ,100% ,1.7 ,1.3 ,80% ,0.7 ,0.3 ,50% ,0.3 ,2.0 
,,Heatcheck Gaming,Majes7ic,Mid-Season Tournament 2,1 ,28 ,12 ,3 ,4.0 ,2 ,– ,1 ,– ,1 ,16 ,10 ,63% ,75% ,9 ,6 ,67% ,7 ,4 ,57% ,4 ,4 ,100% ,4 ,1 ,,28.0 ,12.0 ,3.0 ,4.0 ,2.0 ,– ,1.0 ,– ,1.0 ,16.0 ,10.0 ,63% ,75% ,9.0 ,6.0 ,67% ,7.0 ,4.0 ,57% ,4.0 ,4.0 ,100% ,4.0 ,1.0 
,,Heatcheck Gaming,Majes7ic,Mid-Season Tournament 1,1 ,11 ,12 ,3 ,4.0 ,2 ,– ,1 ,– ,1 ,10 ,5 ,50% ,50% ,9 ,5 ,56% ,1 ,– ,– ,1 ,1 ,100% ,3 ,3 ,,11.0 ,12.0 ,3.0 ,4.0 ,2.0 ,– ,1.0 ,– ,1.0 ,10.0 ,5.0 ,50% ,50% ,9.0 ,5.0 ,56% ,1.0 ,– ,– ,1.0 ,1.0 ,100% ,3.0 ,3.0 
,,Heatcheck Gaming,Majes7ic,Finals,2 ,11 ,2 ,– ,– ,3 ,5 ,9 ,– ,9 ,8 ,4 ,50% ,69% ,1 ,1 ,100% ,7 ,3 ,43% ,– ,– ,-,1 ,4 ,,5.5 ,1.0 ,– ,– ,1.5 ,2.5 ,4.5 ,– ,4.5 ,4.0 ,2.0 ,50% ,69% ,0.5 ,0.5 ,100% ,3.5 ,1.5 ,43% ,– ,– ,-,0.5 ,2.0 
,,Heatcheck Gaming,Sharpshooterlos,Tip Off,4 ,42 ,5 ,1 ,5.0 ,– ,1 ,7 ,2 ,5 ,29 ,15 ,52% ,67% ,12 ,6 ,50% ,17 ,9 ,53% ,4 ,3 ,75% ,3 ,2 ,,10.5 ,1.3 ,0.3 ,5.0 ,– ,0.3 ,1.8 ,0.5 ,1.3 ,7.3 ,3.8 ,52% ,67% ,3.0 ,1.5 ,50% ,4.3 ,2.3 ,53% ,1.0 ,0.8 ,75% ,0.8 ,0.5 
,,Heatcheck Gaming,Sharpshooterlos,Regular Season,11 ,79 ,11 ,10 ,1.1 ,12 ,– ,12 ,1 ,11 ,45 ,28 ,62% ,78% ,20 ,14 ,70% ,25 ,14 ,56% ,11 ,9 ,82% ,10 ,13 ,,7.2 ,1.0 ,0.9 ,1.1 ,1.1 ,– ,1.1 ,0.1 ,1.0 ,4.1 ,2.5 ,62% ,78% ,1.8 ,1.3 ,70% ,2.3 ,1.3 ,56% ,1.0 ,0.8 ,82% ,0.9 ,1.2 
,,Heatcheck Gaming,Sharpshooterlos,Playoffs,3 ,19 ,4 ,2 ,2.0 ,– ,– ,4 ,– ,4 ,15 ,6 ,40% ,43% ,8 ,5 ,63% ,7 ,1 ,14% ,7 ,6 ,86% ,5 ,3 ,,6.3 ,1.3 ,0.7 ,2.0 ,– ,– ,1.3 ,– ,1.3 ,5.0 ,2.0 ,40% ,43% ,2.7 ,1.7 ,63% ,2.3 ,0.3 ,14% ,2.3 ,2.0 ,86% ,1.7 ,1.0 
,,Heatcheck Gaming,Sharpshooterlos,Mid-Season Tournament 2,1 ,6 ,– ,1 ,– ,– ,– ,1 ,– ,1 ,4 ,2 ,50% ,75% ,– ,– ,-,4 ,2 ,50% ,– ,– ,-,1 ,2 ,,6.0 ,– ,1.0 ,– ,– ,– ,1.0 ,– ,1.0 ,4.0 ,2.0 ,50% ,75% ,– ,– ,-,4.0 ,2.0 ,50% ,– ,– ,-,1.0 ,2.0 
,,Heatcheck Gaming,Sharpshooterlos,Mid-Season Tournament 1,1 ,10 ,2 ,1 ,2.0 ,5 ,1 ,4 ,1 ,3 ,10 ,5 ,50% ,50% ,10 ,5 ,50% ,– ,– ,-,– ,– ,-,1 ,5 ,,10.0 ,2.0 ,1.0 ,2.0 ,5.0 ,1.0 ,4.0 ,1.0 ,3.0 ,10.0 ,5.0 ,50% ,50% ,10.0 ,5.0 ,50% ,– ,– ,-,– ,– ,-,1.0 ,5.0 
,,Heatcheck Gaming,Sharpshooterlos,Finals,2 ,11 ,3 ,1 ,3.0 ,1 ,1 ,2 ,– ,2 ,11 ,4 ,36% ,45% ,7 ,2 ,29% ,4 ,2 ,50% ,1 ,1 ,100% ,– ,2 ,,5.5 ,1.5 ,0.5 ,3.0 ,0.5 ,0.5 ,1.0 ,– ,1.0 ,5.5 ,2.0 ,36% ,45% ,3.5 ,1.0 ,29% ,2.0 ,1.0 ,50% ,0.5 ,0.5 ,100% ,– ,1.0 
