,,Wizards District Gaming,DemonJT,Regular Season,14 ,179 ,69 ,26 ,2.7 ,12 ,1 ,15 ,4 ,11 ,145 ,75 ,52% ,59% ,96 ,54 ,56% ,49 ,21 ,43% ,8 ,8 ,100% ,20 ,25 ,,12.8 ,4.9 ,1.9 ,2.7 ,0.9 ,0.1 ,1.1 ,0.3 ,0.8 ,10.4 ,5.4 ,52% ,59% ,6.9 ,3.9 ,56% ,3.5 ,1.5 ,43% ,0.6 ,0.6 ,100% ,1.4 ,1.8 
,,Wizards District Gaming,DemonJT,Playoffs,1 ,23 ,4 ,1 ,4.0 ,1 ,– ,2 ,– ,2 ,14 ,9 ,64% ,79% ,7 ,5 ,71% ,7 ,4 ,57% ,2 ,1 ,50% ,3 ,1 ,,23.0 ,4.0 ,1.0 ,4.0 ,1.0 ,– ,2.0 ,– ,2.0 ,14.0 ,9.0 ,64% ,79% ,7.0 ,5.0 ,71% ,7.0 ,4.0 ,57% ,2.0 ,1.0 ,50% ,3.0 ,1.0 
,,Wizards District Gaming,DemonJT,Mid-Season Tournament 2,2 ,15 ,6 ,3 ,2.0 ,2 ,– ,1 ,– ,1 ,12 ,6 ,50% ,63% ,5 ,3 ,60% ,7 ,3 ,43% ,– ,– ,-,1 ,4 ,,7.5 ,3.0 ,1.5 ,2.0 ,1.0 ,– ,0.5 ,– ,0.5 ,6.0 ,3.0 ,50% ,63% ,2.5 ,1.5 ,60% ,3.5 ,1.5 ,43% ,– ,– ,-,0.5 ,2.0 
,,Wizards District Gaming,DemonJT,Mid-Season Tournament 1,2 ,25 ,10 ,7 ,1.4 ,1 ,– ,1 ,– ,1 ,20 ,9 ,45% ,50% ,11 ,7 ,64% ,9 ,2 ,22% ,5 ,5 ,100% ,6 ,1 ,,12.5 ,5.0 ,3.5 ,1.4 ,0.5 ,– ,0.5 ,– ,0.5 ,10.0 ,4.5 ,45% ,50% ,5.5 ,3.5 ,64% ,4.5 ,1.0 ,22% ,2.5 ,2.5 ,100% ,3.0 ,0.5 
,,Wizards District Gaming,Jin,Tip Off,3 ,46 ,11 ,2 ,5.5 ,1 ,– ,2 ,2 ,– ,29 ,19 ,66% ,76% ,20 ,13 ,65% ,9 ,6 ,67% ,3 ,2 ,67% ,3 ,7 ,,15.3 ,3.7 ,0.7 ,5.5 ,0.3 ,– ,0.7 ,0.7 ,– ,9.7 ,6.3 ,66% ,76% ,6.7 ,4.3 ,65% ,3.0 ,2.0 ,67% ,1.0 ,0.7 ,67% ,1.0 ,2.3 
,,Wizards District Gaming,Jin,Regular Season,14 ,167 ,42 ,17 ,2.5 ,18 ,5 ,42 ,11 ,31 ,110 ,68 ,62% ,66% ,88 ,59 ,67% ,22 ,9 ,41% ,22 ,22 ,100% ,28 ,22 ,,11.9 ,3.0 ,1.2 ,2.5 ,1.3 ,0.4 ,3.0 ,0.8 ,2.2 ,7.9 ,4.9 ,62% ,66% ,6.3 ,4.2 ,67% ,1.6 ,0.6 ,41% ,1.6 ,1.6 ,100% ,2.0 ,1.6 
,,Wizards District Gaming,Jin,Playoffs,1 ,3 ,2 ,– ,– ,– ,2 ,3 ,1 ,2 ,4 ,1 ,25% ,38% ,2 ,– ,– ,2 ,1 ,50% ,– ,– ,-,– ,1 ,,3.0 ,2.0 ,– ,– ,– ,2.0 ,3.0 ,1.0 ,2.0 ,4.0 ,1.0 ,25% ,38% ,2.0 ,– ,– ,2.0 ,1.0 ,50% ,– ,– ,-,– ,1.0 
,,Wizards District Gaming,Jin,Mid-Season Tournament 2,2 ,21 ,6 ,4 ,1.5 ,1 ,– ,8 ,4 ,4 ,16 ,8 ,50% ,66% ,4 ,3 ,75% ,12 ,5 ,42% ,– ,– ,-,1 ,2 ,,10.5 ,3.0 ,2.0 ,1.5 ,0.5 ,– ,4.0 ,2.0 ,2.0 ,8.0 ,4.0 ,50% ,66% ,2.0 ,1.5 ,75% ,6.0 ,2.5 ,42% ,– ,– ,-,0.5 ,1.0 
,,Wizards District Gaming,Jin,Mid-Season Tournament 1,2 ,35 ,6 ,4 ,1.5 ,– ,– ,8 ,7 ,1 ,27 ,17 ,63% ,63% ,24 ,17 ,71% ,3 ,– ,– ,1 ,1 ,100% ,4 ,5 ,,17.5 ,3.0 ,2.0 ,1.5 ,– ,– ,4.0 ,3.5 ,0.5 ,13.5 ,8.5 ,63% ,63% ,12.0 ,8.5 ,71% ,1.5 ,– ,– ,0.5 ,0.5 ,100% ,2.0 ,2.5 
,,Wizards District Gaming,ReeseDaGod23,Tip Off,3 ,15 ,5 ,2 ,2.5 ,4 ,– ,10 ,3 ,7 ,12 ,5 ,42% ,54% ,3 ,2 ,67% ,9 ,3 ,33% ,2 ,2 ,100% ,3 ,2 ,,5.0 ,1.7 ,0.7 ,2.5 ,1.3 ,– ,3.3 ,1.0 ,2.3 ,4.0 ,1.7 ,42% ,54% ,1.0 ,0.7 ,67% ,3.0 ,1.0 ,33% ,0.7 ,0.7 ,100% ,1.0 ,0.7 
,,Wizards District Gaming,ReeseDaGod23,Regular Season,14 ,99 ,19 ,7 ,2.7 ,3 ,– ,8 ,2 ,6 ,61 ,36 ,59% ,77% ,20 ,14 ,70% ,41 ,22 ,54% ,5 ,5 ,100% ,5 ,1 ,,7.1 ,1.4 ,0.5 ,2.7 ,0.2 ,– ,0.6 ,0.1 ,0.4 ,4.4 ,2.6 ,59% ,77% ,1.4 ,1.0 ,70% ,2.9 ,1.6 ,54% ,0.4 ,0.4 ,100% ,0.4 ,0.1 
,,Wizards District Gaming,ReeseDaGod23,Playoffs,1 ,2 ,1 ,1 ,1.0 ,– ,– ,1 ,– ,1 ,3 ,1 ,33% ,33% ,2 ,1 ,50% ,1 ,– ,– ,– ,– ,-,– ,– ,,2.0 ,1.0 ,1.0 ,1.0 ,– ,– ,1.0 ,– ,1.0 ,3.0 ,1.0 ,33% ,33% ,2.0 ,1.0 ,50% ,1.0 ,– ,– ,– ,– ,-,– ,– 
,,Wizards District Gaming,ReeseDaGod23,Mid-Season Tournament 2,2 ,22 ,2 ,2 ,1.0 ,2 ,1 ,– ,– ,– ,11 ,8 ,73% ,95% ,5 ,3 ,60% ,6 ,5 ,83% ,1 ,1 ,100% ,2 ,2 ,,11.0 ,1.0 ,1.0 ,1.0 ,1.0 ,0.5 ,– ,– ,– ,5.5 ,4.0 ,73% ,95% ,2.5 ,1.5 ,60% ,3.0 ,2.5 ,83% ,0.5 ,0.5 ,100% ,1.0 ,1.0 
,,Wizards District Gaming,ReeseDaGod23,Mid-Season Tournament 1,2 ,8 ,5 ,– ,– ,2 ,– ,3 ,– ,3 ,7 ,3 ,43% ,57% ,3 ,1 ,33% ,4 ,2 ,50% ,– ,– ,-,– ,– ,,4.0 ,2.5 ,– ,– ,1.0 ,– ,1.5 ,– ,1.5 ,3.5 ,1.5 ,43% ,57% ,1.5 ,0.5 ,33% ,2.0 ,1.0 ,50% ,– ,– ,-,– ,– 
