,,Celtics Crossover Gaming,Ofab,Mid-Season Tournament 2,4 ,78 ,69 ,13 ,5.3 ,10 ,– ,3 ,1 ,2 ,67 ,31 ,46% ,54% ,38 ,21 ,55% ,29 ,10 ,35% ,6 ,6 ,100% ,19 ,9 ,,19.5 ,17.3 ,3.3 ,5.3 ,2.5 ,– ,0.8 ,0.3 ,0.5 ,16.8 ,7.8 ,46% ,54% ,9.5 ,5.3 ,55% ,7.3 ,2.5 ,35% ,1.5 ,1.5 ,100% ,4.8 ,2.3 
,,Celtics Crossover Gaming,Ofab,Mid-Season Tournament 1,4 ,58 ,77 ,15 ,5.1 ,9 ,– ,5 ,3 ,2 ,44 ,22 ,50% ,59% ,28 ,14 ,50% ,16 ,8 ,50% ,6 ,6 ,100% ,13 ,19 ,,14.5 ,19.3 ,3.8 ,5.1 ,2.3 ,– ,1.3 ,0.8 ,0.5 ,11.0 ,5.5 ,50% ,59% ,7.0 ,3.5 ,50% ,4.0 ,2.0 ,50% ,1.5 ,1.5 ,100% ,3.3 ,4.8 
,,Celtics Crossover Gaming,Palmoilplease,Tip Off,4 ,25 ,2 ,1 ,2.0 ,3 ,2 ,9 ,1 ,8 ,17 ,12 ,71% ,74% ,13 ,11 ,85% ,4 ,1 ,25% ,– ,– ,-,– ,4 ,,6.3 ,0.5 ,0.3 ,2.0 ,0.8 ,0.5 ,2.3 ,0.3 ,2.0 ,4.3 ,3.0 ,71% ,74% ,3.3 ,2.8 ,85% ,1.0 ,0.3 ,25% ,– ,– ,-,– ,1.0 
,,Celtics Crossover Gaming,Palmoilplease,Regular Season,7 ,41 ,9 ,1 ,9.0 ,4 ,5 ,16 ,1 ,15 ,41 ,16 ,39% ,50% ,16 ,7 ,44% ,25 ,9 ,36% ,– ,– ,-,1 ,9 ,,5.9 ,1.3 ,0.1 ,9.0 ,0.6 ,0.7 ,2.3 ,0.1 ,2.1 ,5.9 ,2.3 ,39% ,50% ,2.3 ,1.0 ,44% ,3.6 ,1.3 ,36% ,– ,– ,-,0.1 ,1.3 
,,Celtics Crossover Gaming,Profusion,Tip Off,4 ,37 ,12 ,1 ,12.0 ,6 ,– ,1 ,– ,1 ,33 ,14 ,42% ,56% ,12 ,5 ,42% ,21 ,9 ,43% ,– ,– ,-,2 ,3 ,,9.3 ,3.0 ,0.3 ,12.0 ,1.5 ,– ,0.3 ,– ,0.3 ,8.3 ,3.5 ,42% ,56% ,3.0 ,1.3 ,42% ,5.3 ,2.3 ,43% ,– ,– ,-,0.5 ,0.8 
,,Celtics Crossover Gaming,Profusion,Regular Season,14 ,151 ,6 ,6 ,1.0 ,8 ,3 ,17 ,3 ,14 ,92 ,63 ,69% ,80% ,49 ,41 ,84% ,43 ,22 ,51% ,5 ,3 ,60% ,7 ,13 ,,10.8 ,0.4 ,0.4 ,1.0 ,0.6 ,0.2 ,1.2 ,0.2 ,1.0 ,6.6 ,4.5 ,69% ,80% ,3.5 ,2.9 ,84% ,3.1 ,1.6 ,51% ,0.4 ,0.2 ,60% ,0.5 ,0.9 
,,Celtics Crossover Gaming,Profusion,Mid-Season Tournament 2,4 ,65 ,7 ,– ,– ,4 ,– ,6 ,3 ,3 ,32 ,25 ,78% ,95% ,18 ,14 ,78% ,14 ,11 ,79% ,5 ,4 ,80% ,4 ,4 ,,16.3 ,1.8 ,– ,– ,1.0 ,– ,1.5 ,0.8 ,0.8 ,8.0 ,6.3 ,78% ,95% ,4.5 ,3.5 ,78% ,3.5 ,2.8 ,79% ,1.3 ,1.0 ,80% ,1.0 ,1.0 
,,Celtics Crossover Gaming,Profusion,Mid-Season Tournament 1,4 ,44 ,2 ,1 ,2.0 ,5 ,– ,5 ,1 ,4 ,25 ,17 ,68% ,78% ,17 ,12 ,71% ,8 ,5 ,63% ,5 ,5 ,100% ,2 ,4 ,,11.0 ,0.5 ,0.3 ,2.0 ,1.3 ,– ,1.3 ,0.3 ,1.0 ,6.3 ,4.3 ,68% ,78% ,4.3 ,3.0 ,71% ,2.0 ,1.3 ,63% ,1.3 ,1.3 ,100% ,0.5 ,1.0 
,,Celtics Crossover Gaming,Speedbrook,Regular Season,7 ,74 ,5 ,1 ,5.0 ,5 ,– ,1 ,– ,1 ,48 ,29 ,60% ,76% ,17 ,14 ,82% ,31 ,15 ,48% ,1 ,1 ,100% ,6 ,6 ,,10.6 ,0.7 ,0.1 ,5.0 ,0.7 ,– ,0.1 ,– ,0.1 ,6.9 ,4.1 ,60% ,76% ,2.4 ,2.0 ,82% ,4.4 ,2.1 ,48% ,0.1 ,0.1 ,100% ,0.9 ,0.9 
,,Celtics Crossover Gaming,Speedbrook,Mid-Season Tournament 2,4 ,32 ,1 ,– ,– ,3 ,– ,– ,– ,– ,26 ,12 ,46% ,62% ,7 ,4 ,57% ,19 ,8 ,42% ,– ,– ,-,– ,5 ,,8.0 ,0.3 ,– ,– ,0.8 ,– ,– ,– ,– ,6.5 ,3.0 ,46% ,62% ,1.8 ,1.0 ,57% ,4.8 ,2.0 ,42% ,– ,– ,-,– ,1.3 
,,Celtics Crossover Gaming,Speedbrook,Mid-Season Tournament 1,4 ,54 ,2 ,2 ,1.0 ,1 ,– ,1 ,– ,1 ,32 ,21 ,66% ,78% ,15 ,13 ,87% ,17 ,8 ,47% ,4 ,4 ,100% ,3 ,2 ,,13.5 ,0.5 ,0.5 ,1.0 ,0.3 ,– ,0.3 ,– ,0.3 ,8.0 ,5.3 ,66% ,78% ,3.8 ,3.3 ,87% ,4.3 ,2.0 ,47% ,1.0 ,1.0 ,100% ,0.8 ,0.5 
