,,Grizz Gaming,PhenomVV,Tip Off,3 ,22 ,2 ,5 ,0.4 ,3 ,1 ,1 ,– ,1 ,12 ,8 ,67% ,92% ,4 ,2 ,50% ,8 ,6 ,75% ,– ,– ,-,2 ,– ,,7.3 ,0.7 ,1.7 ,0.4 ,1.0 ,0.3 ,0.3 ,– ,0.3 ,4.0 ,2.7 ,67% ,92% ,1.3 ,0.7 ,50% ,2.7 ,2.0 ,75% ,– ,– ,-,0.7 ,– 
,,Grizz Gaming,PhenomVV,Regular Season,12 ,66 ,5 ,5 ,1.0 ,13 ,1 ,23 ,1 ,22 ,41 ,24 ,59% ,79% ,9 ,7 ,78% ,32 ,17 ,53% ,1 ,1 ,100% ,2 ,10 ,,5.5 ,0.4 ,0.4 ,1.0 ,1.1 ,0.1 ,1.9 ,0.1 ,1.8 ,3.4 ,2.0 ,59% ,79% ,0.8 ,0.6 ,78% ,2.7 ,1.4 ,53% ,0.1 ,0.1 ,100% ,0.2 ,0.8 
,,Grizz Gaming,PhenomVV,Mid-Season Tournament 2,1 ,6 ,– ,3 ,– ,1 ,– ,– ,– ,– ,4 ,2 ,50% ,75% ,– ,– ,-,4 ,2 ,50% ,– ,– ,-,– ,– ,,6.0 ,– ,3.0 ,– ,1.0 ,– ,– ,– ,– ,4.0 ,2.0 ,50% ,75% ,– ,– ,-,4.0 ,2.0 ,50% ,– ,– ,-,– ,– 
,,Grizz Gaming,PhenomVV,Mid-Season Tournament 1,1 ,2 ,1 ,2 ,0.5 ,1 ,– ,1 ,– ,1 ,1 ,1 ,100% ,100% ,1 ,1 ,100% ,– ,– ,-,– ,– ,-,– ,– ,,2.0 ,1.0 ,2.0 ,0.5 ,1.0 ,– ,1.0 ,– ,1.0 ,1.0 ,1.0 ,100% ,100% ,1.0 ,1.0 ,100% ,– ,– ,-,– ,– ,-,– ,– 
,,Grizz Gaming,UniversalPhenom,Tip Off,4 ,44 ,9 ,7 ,1.3 ,7 ,1 ,27 ,10 ,17 ,34 ,20 ,59% ,59% ,33 ,20 ,61% ,1 ,– ,– ,4 ,4 ,100% ,2 ,7 ,,11.0 ,2.3 ,1.8 ,1.3 ,1.8 ,0.3 ,6.8 ,2.5 ,4.3 ,8.5 ,5.0 ,59% ,59% ,8.3 ,5.0 ,61% ,0.3 ,– ,– ,1.0 ,1.0 ,100% ,0.5 ,1.8 
,,Grizz Gaming,UniversalPhenom,Regular Season,14 ,213 ,13 ,14 ,0.9 ,15 ,9 ,108 ,37 ,71 ,158 ,95 ,60% ,62% ,145 ,90 ,62% ,13 ,5 ,39% ,23 ,18 ,78% ,18 ,28 ,,15.2 ,0.9 ,1.0 ,0.9 ,1.1 ,0.6 ,7.7 ,2.6 ,5.1 ,11.3 ,6.8 ,60% ,62% ,10.4 ,6.4 ,62% ,0.9 ,0.4 ,39% ,1.6 ,1.3 ,78% ,1.3 ,2.0 
,,Grizz Gaming,UniversalPhenom,Mid-Season Tournament 2,1 ,4 ,3 ,2 ,1.5 ,1 ,2 ,5 ,1 ,4 ,5 ,2 ,40% ,40% ,4 ,2 ,50% ,1 ,– ,– ,– ,– ,-,– ,2 ,,4.0 ,3.0 ,2.0 ,1.5 ,1.0 ,2.0 ,5.0 ,1.0 ,4.0 ,5.0 ,2.0 ,40% ,40% ,4.0 ,2.0 ,50% ,1.0 ,– ,– ,– ,– ,-,– ,2.0 
,,Grizz Gaming,Winner_Stayz_On,Tip Off,3 ,31 ,16 ,7 ,2.3 ,2 ,1 ,– ,– ,– ,25 ,11 ,44% ,56% ,10 ,5 ,50% ,15 ,6 ,40% ,3 ,3 ,100% ,6 ,7 ,,10.3 ,5.3 ,2.3 ,2.3 ,0.7 ,0.3 ,– ,– ,– ,8.3 ,3.7 ,44% ,56% ,3.3 ,1.7 ,50% ,5.0 ,2.0 ,40% ,1.0 ,1.0 ,100% ,2.0 ,2.3 
,,Grizz Gaming,Winner_Stayz_On,Regular Season,6 ,64 ,6 ,3 ,2.0 ,3 ,– ,2 ,– ,2 ,43 ,23 ,54% ,67% ,18 ,11 ,61% ,25 ,12 ,48% ,7 ,6 ,86% ,5 ,5 ,,10.7 ,1.0 ,0.5 ,2.0 ,0.5 ,– ,0.3 ,– ,0.3 ,7.2 ,3.8 ,54% ,67% ,3.0 ,1.8 ,61% ,4.2 ,2.0 ,48% ,1.2 ,1.0 ,86% ,0.8 ,0.8 
,,Grizz Gaming,Winner_Stayz_On,Mid-Season Tournament 1,1 ,4 ,1 ,– ,– ,– ,– ,2 ,1 ,1 ,10 ,2 ,20% ,20% ,7 ,2 ,29% ,3 ,– ,– ,– ,– ,-,1 ,– ,,4.0 ,1.0 ,– ,– ,– ,– ,2.0 ,1.0 ,1.0 ,10.0 ,2.0 ,20% ,20% ,7.0 ,2.0 ,29% ,3.0 ,– ,– ,– ,– ,-,1.0 ,– 
