,,Warriors Gaming Squad,ShawnWin,Mid-Season Tournament 1,2 ,7 ,1 ,2 ,0.5 ,– ,– ,1 ,– ,1 ,7 ,3 ,43% ,50% ,2 ,2 ,100% ,5 ,1 ,20% ,– ,– ,-,1 ,1 ,,3.5 ,0.5 ,1.0 ,0.5 ,– ,– ,0.5 ,– ,0.5 ,3.5 ,1.5 ,43% ,50% ,1.0 ,1.0 ,100% ,2.5 ,0.5 ,20% ,– ,– ,-,0.5 ,0.5 
,,Warriors Gaming Squad,Sleep,Regular Season,10 ,60 ,29 ,12 ,2.4 ,13 ,6 ,22 ,3 ,19 ,49 ,21 ,43% ,53% ,25 ,11 ,44% ,24 ,10 ,42% ,8 ,8 ,100% ,10 ,5 ,,6.0 ,2.9 ,1.2 ,2.4 ,1.3 ,0.6 ,2.2 ,0.3 ,1.9 ,4.9 ,2.1 ,43% ,53% ,2.5 ,1.1 ,44% ,2.4 ,1.0 ,42% ,0.8 ,0.8 ,100% ,1.0 ,0.5 
,,Warriors Gaming Squad,Type,Tip Off,4 ,53 ,12 ,4 ,3.0 ,5 ,3 ,27 ,5 ,22 ,36 ,22 ,61% ,69% ,22 ,16 ,73% ,14 ,6 ,43% ,4 ,3 ,75% ,2 ,9 ,,13.3 ,3.0 ,1.0 ,3.0 ,1.3 ,0.8 ,6.8 ,1.3 ,5.5 ,9.0 ,5.5 ,61% ,69% ,5.5 ,4.0 ,73% ,3.5 ,1.5 ,43% ,1.0 ,0.8 ,75% ,0.5 ,2.3 
,,Warriors Gaming Squad,Type,Regular Season,11 ,141 ,10 ,22 ,0.5 ,17 ,24 ,86 ,21 ,65 ,105 ,59 ,56% ,61% ,70 ,48 ,69% ,35 ,11 ,31% ,14 ,12 ,86% ,13 ,26 ,,12.8 ,0.9 ,2.0 ,0.5 ,1.5 ,2.2 ,7.8 ,1.9 ,5.9 ,9.5 ,5.4 ,56% ,61% ,6.4 ,4.4 ,69% ,3.2 ,1.0 ,31% ,1.3 ,1.1 ,86% ,1.2 ,2.4 
,,Warriors Gaming Squad,Type,Mid-Season Tournament 2,1 ,5 ,2 ,3 ,0.7 ,1 ,1 ,1 ,– ,1 ,2 ,1 ,50% ,50% ,2 ,1 ,50% ,– ,– ,-,3 ,3 ,100% ,3 ,– ,,5.0 ,2.0 ,3.0 ,0.7 ,1.0 ,1.0 ,1.0 ,– ,1.0 ,2.0 ,1.0 ,50% ,50% ,2.0 ,1.0 ,50% ,– ,– ,-,3.0 ,3.0 ,100% ,3.0 ,– 
,,Warriors Gaming Squad,Type,Mid-Season Tournament 1,2 ,26 ,8 ,1 ,8.0 ,3 ,3 ,11 ,2 ,9 ,22 ,10 ,45% ,59% ,12 ,4 ,33% ,10 ,6 ,60% ,– ,– ,-,1 ,4 ,,13.0 ,4.0 ,0.5 ,8.0 ,1.5 ,1.5 ,5.5 ,1.0 ,4.5 ,11.0 ,5.0 ,45% ,59% ,6.0 ,2.0 ,33% ,5.0 ,3.0 ,60% ,– ,– ,-,0.5 ,2.0 
,,Warriors Gaming Squad,Vert,Tip Off,4 ,99 ,19 ,13 ,1.5 ,9 ,1 ,35 ,16 ,19 ,63 ,43 ,68% ,68% ,63 ,43 ,68% ,– ,– ,-,13 ,13 ,100% ,9 ,12 ,,24.8 ,4.8 ,3.3 ,1.5 ,2.3 ,0.3 ,8.8 ,4.0 ,4.8 ,15.8 ,10.8 ,68% ,68% ,15.8 ,10.8 ,68% ,– ,– ,-,3.3 ,3.3 ,100% ,2.3 ,3.0 
,,Warriors Gaming Squad,Vert,Regular Season,13 ,241 ,23 ,29 ,0.8 ,18 ,11 ,104 ,44 ,60 ,165 ,105 ,64% ,64% ,163 ,105 ,64% ,2 ,– ,– ,34 ,31 ,91% ,32 ,30 ,,18.5 ,1.8 ,2.2 ,0.8 ,1.4 ,0.8 ,8.0 ,3.4 ,4.6 ,12.7 ,8.1 ,64% ,64% ,12.5 ,8.1 ,64% ,0.2 ,– ,– ,2.6 ,2.4 ,91% ,2.5 ,2.3 
,,Warriors Gaming Squad,Vert,Mid-Season Tournament 2,1 ,25 ,2 ,1 ,2.0 ,1 ,2 ,12 ,3 ,9 ,20 ,12 ,60% ,60% ,20 ,12 ,60% ,– ,– ,-,1 ,1 ,100% ,1 ,4 ,,25.0 ,2.0 ,1.0 ,2.0 ,1.0 ,2.0 ,12.0 ,3.0 ,9.0 ,20.0 ,12.0 ,60% ,60% ,20.0 ,12.0 ,60% ,– ,– ,-,1.0 ,1.0 ,100% ,1.0 ,4.0 
,,Warriors Gaming Squad,Vert,Mid-Season Tournament 1,2 ,43 ,3 ,6 ,0.5 ,3 ,5 ,23 ,11 ,12 ,31 ,20 ,65% ,65% ,31 ,20 ,65% ,– ,– ,-,3 ,3 ,100% ,2 ,5 ,,21.5 ,1.5 ,3.0 ,0.5 ,1.5 ,2.5 ,11.5 ,5.5 ,6.0 ,15.5 ,10.0 ,65% ,65% ,15.5 ,10.0 ,65% ,– ,– ,-,1.5 ,1.5 ,100% ,1.0 ,2.5 
