,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Wizards District Gaming,BooPainter,Mid-Season Tournament 2,2 ,74 ,13 ,9 ,1.4 ,4 ,– ,11 ,3 ,8 ,52 ,35 ,67% ,67% ,51 ,35 ,69% ,1 ,– ,– ,8 ,4 ,50% ,14 ,7 ,,37.0 ,6.5 ,4.5 ,1.4 ,2.0 ,– ,5.5 ,1.5 ,4.0 ,26.0 ,17.5 ,67% ,67% ,25.5 ,17.5 ,69% ,0.5 ,– ,– ,4.0 ,2.0 ,50% ,7.0 ,3.5 
Wizards District Gaming,BooPainter,Mid-Season Tournament 1,2 ,73 ,5 ,3 ,1.7 ,2 ,4 ,19 ,7 ,12 ,43 ,31 ,72% ,73% ,41 ,30 ,73% ,2 ,1 ,50% ,10 ,10 ,100% ,10 ,7 ,,36.5 ,2.5 ,1.5 ,1.7 ,1.0 ,2.0 ,9.5 ,3.5 ,6.0 ,21.5 ,15.5 ,72% ,73% ,20.5 ,15.0 ,73% ,1.0 ,0.5 ,50% ,5.0 ,5.0 ,100% ,5.0 ,3.5 
Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 2,1 ,6 ,4 ,4 ,1.0 ,– ,– ,6 ,1 ,5 ,6 ,3 ,50% ,50% ,3 ,3 ,100% ,3 ,– ,– ,– ,– ,-,2 ,1 ,,6.0 ,4.0 ,4.0 ,1.0 ,– ,– ,6.0 ,1.0 ,5.0 ,6.0 ,3.0 ,50% ,50% ,3.0 ,3.0 ,100% ,3.0 ,– ,– ,– ,– ,-,2.0 ,1.0 
Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 1,2 ,15 ,3 ,4 ,0.8 ,2 ,– ,– ,– ,– ,11 ,6 ,55% ,64% ,6 ,4 ,67% ,5 ,2 ,40% ,2 ,1 ,50% ,3 ,3 ,,7.5 ,1.5 ,2.0 ,0.8 ,1.0 ,– ,– ,– ,– ,5.5 ,3.0 ,55% ,64% ,3.0 ,2.0 ,67% ,2.5 ,1.0 ,40% ,1.0 ,0.5 ,50% ,1.5 ,1.5 
Kings Guard Gaming,Coleworld2k,Mid-Season Tournament 2,3 ,20 ,2 ,– ,– ,– ,– ,8 ,1 ,7 ,14 ,7 ,50% ,71% ,2 ,1 ,50% ,12 ,6 ,50% ,– ,– ,-,– ,3 ,,6.7 ,0.7 ,– ,– ,– ,– ,2.7 ,0.3 ,2.3 ,4.7 ,2.3 ,50% ,71% ,0.7 ,0.3 ,50% ,4.0 ,2.0 ,50% ,– ,– ,-,– ,1.0 
Kings Guard Gaming,Coleworld2k,Mid-Season Tournament 1,1 ,12 ,2 ,– ,– ,2 ,– ,1 ,– ,1 ,8 ,4 ,50% ,75% ,1 ,– ,– ,7 ,4 ,57% ,– ,– ,-,1 ,1 ,,12.0 ,2.0 ,– ,– ,2.0 ,– ,1.0 ,– ,1.0 ,8.0 ,4.0 ,50% ,75% ,1.0 ,– ,– ,7.0 ,4.0 ,57% ,– ,– ,-,1.0 ,1.0 
Blazers Gaming,DatBoyShotz,Mid-Season Tournament 2,1 ,6 ,1 ,2 ,0.5 ,1 ,1 ,2 ,– ,2 ,7 ,3 ,43% ,43% ,6 ,3 ,50% ,1 ,– ,– ,– ,– ,-,– ,– ,,6.0 ,1.0 ,2.0 ,0.5 ,1.0 ,1.0 ,2.0 ,– ,2.0 ,7.0 ,3.0 ,43% ,43% ,6.0 ,3.0 ,50% ,1.0 ,– ,– ,– ,– ,-,– ,– 
Blazers Gaming,DatBoyShotz,Mid-Season Tournament 1,4 ,97 ,12 ,6 ,2.0 ,6 ,6 ,30 ,13 ,17 ,57 ,40 ,70% ,70% ,57 ,40 ,70% ,– ,– ,-,17 ,17 ,100% ,10 ,9 ,,24.3 ,3.0 ,1.5 ,2.0 ,1.5 ,1.5 ,7.5 ,3.3 ,4.3 ,14.3 ,10.0 ,70% ,70% ,14.3 ,10.0 ,70% ,– ,– ,-,4.3 ,4.3 ,100% ,2.5 ,2.3 
Mavs Gaming,Dayfri,Mid-Season Tournament 2,2 ,26 ,4 ,1 ,4.0 ,2 ,– ,1 ,1 ,– ,15 ,10 ,67% ,87% ,6 ,4 ,67% ,9 ,6 ,67% ,– ,– ,-,– ,3 ,,13.0 ,2.0 ,0.5 ,4.0 ,1.0 ,– ,0.5 ,0.5 ,– ,7.5 ,5.0 ,67% ,87% ,3.0 ,2.0 ,67% ,4.5 ,3.0 ,67% ,– ,– ,-,– ,1.5 
Mavs Gaming,Dayfri,Mid-Season Tournament 1,2 ,39 ,5 ,9 ,0.6 ,6 ,1 ,23 ,6 ,17 ,23 ,18 ,78% ,78% ,23 ,18 ,78% ,– ,– ,-,3 ,3 ,100% ,5 ,2 ,,19.5 ,2.5 ,4.5 ,0.6 ,3.0 ,0.5 ,11.5 ,3.0 ,8.5 ,11.5 ,9.0 ,78% ,78% ,11.5 ,9.0 ,78% ,– ,– ,-,1.5 ,1.5 ,100% ,2.5 ,1.0 
Grizz Gaming,DDouble2K,Mid-Season Tournament 2,1 ,23 ,1 ,1 ,1.0 ,– ,– ,9 ,4 ,5 ,15 ,11 ,73% ,73% ,15 ,11 ,73% ,– ,– ,-,2 ,1 ,50% ,1 ,1 ,,23.0 ,1.0 ,1.0 ,1.0 ,– ,– ,9.0 ,4.0 ,5.0 ,15.0 ,11.0 ,73% ,73% ,15.0 ,11.0 ,73% ,– ,– ,-,2.0 ,1.0 ,50% ,1.0 ,1.0 
Grizz Gaming,DDouble2K,Mid-Season Tournament 1,1 ,24 ,– ,4 ,– ,1 ,– ,10 ,2 ,8 ,14 ,10 ,71% ,71% ,14 ,10 ,71% ,– ,– ,-,4 ,4 ,100% ,4 ,1 ,,24.0 ,– ,4.0 ,– ,1.0 ,– ,10.0 ,2.0 ,8.0 ,14.0 ,10.0 ,71% ,71% ,14.0 ,10.0 ,71% ,– ,– ,-,4.0 ,4.0 ,100% ,4.0 ,1.0 
Jazz Gaming,Deedz,Mid-Season Tournament 2,1 ,4 ,5 ,– ,– ,– ,– ,1 ,1 ,– ,5 ,2 ,40% ,40% ,4 ,2 ,50% ,1 ,– ,– ,– ,– ,-,3 ,5 ,,4.0 ,5.0 ,– ,– ,– ,– ,1.0 ,1.0 ,– ,5.0 ,2.0 ,40% ,40% ,4.0 ,2.0 ,50% ,1.0 ,– ,– ,– ,– ,-,3.0 ,5.0 
